Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1 uF,C106248
D1,0603,1,LED,C284922
J1,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,1,S3B-PH-SM4-TB,NULL
R1,0603,1,750R,C114635
U1,SOT-23-3,1,TMAG5231,NULL
